pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
Cada cuantos a単os se hacen los Juegos Olimpicos?,2,4,6,8,2
Cuantos titulos de Roland Garros tiene Rafael Nadal?,8,10,11,13,4
Cuantos balones de oro tiene Lionel Messi?,4,5,6,7,4
Cuantos hoyos hay en una ronda de golf promedio?,18,20,15,12,1
Cuantos metros tiene de largo una pileta olimpica?,30,80,50,100,3
Cuantos puntos vale un try en el rugby?,5,7,10,2,1
Cuantos jugadores hay en un equipo de beisbol?,7,11,9,13,3
Que tipo de carrera es el tour de Francia?,Formula 1,Maraton,Turismo Carretera,Ciclismo,4
Cual es el equipo mas antiguo del futbol argentino?,River,Racing,Rosario Central,Gimnasia de la Plata,4
Cuantos anillos de la NBA gano Michael Jordan?,4,5,6,7,3
Que pais jugo todos los mundiales de futbol?,Brasil,Argentina,Italia,Alemania,1
Cuantos anillos hay en el logo de los Juegos Olimpicos?,4,5,6,7,2
En que equipo de la NBA juega Lebron James?,Miami Heat,Cleveland Cavaliers,Los Angeles Lakers,Brookling Nets,3
Que seleccion gano el primer mundial de futbol?,Brasil,Argentina,Uruguay,Italia,3
Cuantos mundiales de futbol gano Holanda?,1,ninguno,3,2,2
Quien es el maximo goleador en la historia de los mundiales de futbol?,Lionel Messi,Cristiano Ronaldo,Miroslav Klose,Ronaldo Nazario,3
En que club portugues jugo Cristiano Ronaldo?,Sporting Lisboa,Benfica,Porto,Braga,1
Que numero uso Messi en el Barcelona ademas del 30 y del 10?,16,19,7,9,2
Quien es el unico jugador en ganar la Champions League con 3 equipos distintos?,Cristiano Ronaldo,Ronaldinho,Zidane,Seedorf,4
Cuantas Champions League gano Messi con el Barcelona?,3,4,5,6,2
Cuantas Champions League gano el Real Madrid?,8,10,11,13,4
En que a単o se jugo el primer mundial de futbol?,1922,1926,1930,1936,3
Que seleccion gano mas mundiales de futbol?,Italia,Alemania,Francia,Brasil,4
Cual es el equipo mas ganador de la Premier League?,Manchester United,Liverpool,Chelsea,Manchester City,1
En que pais nacio Usain Bolt?,Estados Unidos,Senegal,Jamaica,Inglaterra,3
Cuantas medallas de oro gano Usain Bolt en los Juegos Olimpicos?,6,8,10,12,2
Cuantas medallas olimpicas tiene Michael Phelps en total?,20,28,30,33,2
Cual de estos tenistas gano una medalla de oro en los Juegos Olimpicos?,Novak Djokovic,Roger Federer,Juan Martin Del Potro,Rafael Nadal,4
En el tenis: cuantos torneos de Grand Slam hay en un a単o?,4,5,6,7,1
Cuantos titulos de Grand Slam tiene Roger Federer?,15,18,20,21,3
Cuantos anillos de la NBA gano Manu Ginobili?,2,3,4,5,3
Cual es el jugador con mas anillos de la NBA?,Sam Jones,Lebron James,Kevin Durant,Bill Russell,4
Cuantas copas America gano Diego Armando Maradona?,2,1,ninguna,3,3
Cuantos goles hizo Diego Armando Maradona en el mundial de 1986?,4,5,6,7,2
Cuantas Copas America gano la seleccion Argentina de futbol?,12,13,14,15,4
Donde se juega el US Open de tenis?,Nueva York,Chicago,Los Angeles,Las Vegas,1
En que equipo de la NBA juega Facundo Campazzo?,Milwaukee Bucks,Toronto Raptors,Boston Celtics,Denver Nuggets,4
En que equipo se retiro oficialmente Michael Jordan?,Washington Wizards,Chicago Bulls,Memphis Grizzlies,Detroit Pistons,1
En que a単o se retiro definitivamente Diego Armando Maradona?,1995,1996,1997,1998,3
En cual de estos equipos no jugo Carlos Tevez?,Manchester United,Manchester City,West Ham United,Southampton,4





















